inputs,context,topic,org_label,set-0,id,label
"(""I would suggest , for example , that a presentation to a doctor be more likely to come from a hospital than from a hunt , and that when the initial ` C.C. ' be place before that hospital the word ` Charing Cross ' very naturally suggest themselves . ''"",)",,,0,train,48,0
"(""`` You may be right . ''"",)",,,0,train,49,0
"('`` The probability lie in that direction .',)",,,0,train,50,0
"(""And if we take this as a working hypothesis we have a fresh basis from which to start our construction of this unknown visitor . ''"",)",,,1,train,51,1
"(""`` Well , then , suppose that ` C.C.H. ' do stand for ` Charing Cross Hospital , ' what further inference may we draw ? ''"",)",,,0,train,52,0
"('`` Do none suggest themselves ?',)",,,1,train,53,1
"('You know my method .',)",,,0,train,54,0
"(""Apply them ! ''"",)",,,0,train,55,0
"(""`` I can only think of the obvious conclusion that the man have practise in town before go to the country . ''"",)",,,0,train,56,0
"('`` I think that we might venture a little farther than this .',)",,,0,train,57,0
"('Look at it in this light .',)",,,0,train,58,0
"('On what occasion would it be most probable that such a presentation would be make ?',)",,,0,train,59,0
"('When would his friend unite to give him a pledge of their good will ?',)",,,0,train,60,0
"('Obviously at the moment when Dr. Mortimer withdraw from the service of the hospital in order to start a practice for himself .',)",,,0,train,61,0
"('We know there have be a presentation .',)",,,0,train,62,0
"('We believe there have be a change from a town hospital to a country practice .',)",,,0,train,63,0
"(""Be it , then , stretch our inference too far to say that the presentation be on the occasion of the change ? ''"",)",,,0,train,64,0
"(""`` It certainly seem probable . ''"",)",,,0,train,65,0
"('`` Now , you will observe that he could not have be on the staff of the hospital , since only a man well-establishe in a London practice could hold such a position , and such a one would not drift into the country .',)",,,1,train,66,1
"('What be he , then ?',)",,,0,train,67,0
"('If he be in the hospital and yet not on the staff he could only have be a house-surgeon or a house-physician -- little more than a senior student .',)",,,1,train,68,1
"('And he leave five year ago -- the date be on the stick .',)",,,0,train,69,0
"(""So your grave , middle-aged family practitioner vanish into thin air , my dear Watson , and there emerge a young fellow under thirty , amiable , unambitious , absent-minded , and the possessor of a favourite dog , which I should describe roughly as be large than a terri and small than a mastiff . ''"",)",,,1,train,70,1
"('I laugh incredulously as Sherlock Holmes lean back in his settee and blow little waver ring of smoke up to the ceiling .',)",,,1,train,71,1
"(""`` As to the latter part , I have no means of check you , '' say I , `` but at least it be not difficult to find out a few particular about the man 's age and professional career . ''"",)",,,1,train,72,1
"('From my small medical shelf I take down the Medical Directory and turn up the name .',)",,,0,train,73,0
"('There be several Mortimer , but only one who could be our visitor .',)",,,0,train,74,0
"('I read his record aloud .',)",,,0,train,75,0
"('`` Mortimer , James , M.R.C.S. , 1882 , Grimpen , Dartmoor , Devon .',)",,,0,train,76,0
"('House-surgeon , from 1882 to 1884 , at Charing Cross Hospital .',)",,,0,train,77,0
"(""Winner of the Jackson prize for Comparative Pathology , with essay entitle ` Be Disease a Reversion ? '"",)",,,0,train,78,0
"('Correspond member of the Swedish Pathological Society .',)",,,0,train,79,0
"(""Author of ` Some Freaks of Atavism ' ( Lancet 1882 ) ."",)",,,0,train,80,0
"(""` Do We Progress ? ' ( Journal of Psychology , March , 1883 ) ."",)",,,0,train,81,0
"(""Medical Officer for the parish of Grimpen , Thorsley , and High Barrow . ''"",)",,,0,train,82,0
"(""`` No mention of that local hunt , Watson , '' say Holmes with a mischievous smile , `` but a country doctor , as you very astutely observe ."",)",,,1,train,83,1
"('I think that I be fairly justify in my inference .',)",,,0,train,84,0
"('As to the adjective , I say , if I remember right , amiable , unambitious , and absent-minded .',)",,,1,train,85,1
"(""It be my experience that it be only an amiable man in this world who receive testimonial , only an unambitious one who abandon a London career for the country , and only an absent-minded one who leave his stick and not his visiting-card after wait an hour in your room . ''"",)",,,1,train,86,1
"(""`` And the dog ? ''"",)",,,0,train,87,0
"('`` Ha be in the habit of carry this stick behind his master .',)",,,0,train,88,0
"('Be a heavy stick the dog have hold it tightly by the middle , and the mark of his tooth be very plainly visible .',)",,,0,train,89,0
"(""The dog 's jaw , as show in the space between these mark , be too broad in my opinion for a terrier and not broad enough for a mastiff ."",)",,,1,train,90,1
"(""It may have be -- ye , by Jove , it be a curly-haired spaniel . ''"",)",,,0,train,91,0
"('He have rise and pace the room as he speak .',)",,,0,train,92,0
"('Now he halt in the recess of the window .',)",,,0,train,93,0
"('There be such a ring of conviction in his voice that I glance up in surprise .',)",,,0,train,94,0
"(""`` My dear fellow , how can you possibly be so sure of that ? ''"",)",,,0,train,95,0
"('`` For the very simple reason that I see the dog himself on our very door-step , and there be the ring of its owner .',)",,,0,train,96,0
"(""Do n't move , I beg you , Watson ."",)",,,1,train,97,1
"('He be a professional brother of your , and your presence may be of assistance to me .',)",,,0,train,98,0
"('Now be the dramatic moment of fate , Watson , when you hear a step upon the stair which be walk into your life , and you know not whether for good or ill .',)",,,1,train,99,1
"('What do Dr. James Mortimer , the man of science , ask of Sherlock Holmes , the specialist in crime ?',)",,,0,train,100,0
"(""Come in ! ''"",)",,,0,train,101,0
"('The appearance of our visitor be a surprise to me , since I have expect a typical country practitioner .',)",,,0,train,102,0
"('He be a very tall , thin man , with a long nose like a beak , which jut out between two keen , gray eye , set closely together and sparkle brightly from behind a pair of gold-rimmed glass .',)",,,0,train,103,0
"('He be clothe in a professional but rather slovenly fashion , for his frock-coat be dingy and his trouser fray .',)",,,0,train,104,0
"('Though young , his long back be already bow , and he walk with a forward thrust of his head and a general air of peer benevolence .',)",,,0,train,105,0
"(""As he enter his eye fall upon the stick in Holmes 's hand , and he run towards it with an exclamation of joy ."",)",,,0,train,106,0
"(""`` I be so very glad , '' say he ."",)",,,0,train,107,0
"('`` I be not sure whether I have leave it here or in the Shipping Office .',)",,,1,train,108,1
"(""I would not lose that stick for the world . ''"",)",,,1,train,109,1
"(""`` A presentation , I see , '' say Holmes ."",)",,,0,train,110,0
"(""`` Ye , sir . ''"",)",,,0,train,111,0
"(""`` From Charing Cross Hospital ? ''"",)",,,0,train,112,0
"('Chapter 1. Mr. Sherlock Holmes',)",,,0,dev,3644,0
"('Mr. Sherlock Holmes , who be usually very late in the morning , save upon those not infrequent occasion when he be up all night , be seat at the breakfast table .',)",,,1,dev,3645,1
"('I stand upon the hearth-rug and pick up the stick which our visitor have leave behind him the night before .',)",,,0,dev,3646,0
"(""It be a fine , thick piece of wood , bulbous-headed , of the sort which be know as a `` Penang lawyer . ''"",)",,,0,dev,3647,0
"('Just under the head be a broad silver band nearly an inch across .',)",,,0,dev,3648,0
"(""`` To James Mortimer , M.R.C.S. , from his friend of the C.C.H. , '' be engrave upon it , with the date `` 1884 . ''"",)",,,0,dev,3649,0
"('It be just such a stick as the old-fashioned family practitioner use to carry -- dignified , solid , and reassure .',)",,,0,dev,3650,0
"(""`` Well , Watson , what do you make of it ? ''"",)",,,0,dev,3651,0
"('Holmes be sit with his back to me , and I have give him no sign of my occupation .',)",,,1,dev,3652,1
"('`` How do you know what I be do ?',)",,,0,dev,3653,0
"(""I believe you have eye in the back of your head . ''"",)",,,0,dev,3654,0
"(""`` I have , at least , a well-polished , silver-plated coffee-pot in front of me , '' say he ."",)",,,0,dev,3655,0
"(""`` But , tell me , Watson , what do you make of our visitor 's stick ?"",)",,,0,dev,3656,0
"('Since we have be so unfortunate as to miss him and have no notion of his errand , this accidental souvenir become of importance .',)",,,1,dev,3657,1
"(""Let me hear you reconstruct the man by an examination of it . ''"",)",,,0,dev,3658,0
"(""`` I think , '' say I , follow as far as I could the method of my companion , `` that Dr. Mortimer be a successful , elderly medical man , well-esteemed since those who know him give him this mark of their appreciation . ''"",)",,,0,dev,3659,0
"(""`` Good ! '' say Holmes ."",)",,,0,dev,3660,0
"(""`` Excellent ! ''"",)",,,0,dev,3661,0
"(""`` I think also that the probability be in favour of his be a country practitioner who do a great deal of his visit on foot . ''"",)",,,0,dev,3662,0
"(""`` Why so ? ''"",)",,,0,dev,3663,0
"('`` Because this stick , though originally a very handsome one have be so knock about that I can hardly imagine a town practitioner carry it .',)",,,0,dev,3664,0
"(""The thick-iron ferrule be wear down , so it be evident that he have do a great amount of walk with it . ''"",)",,,0,dev,3665,0
"(""`` Perfectly sound ! '' say Holmes ."",)",,,0,dev,3666,0
"(""`` And then again , there be the ` friend of the C.C.H . '"",)",,,0,dev,3667,0
"(""I should guess that to be the Something Hunt , the local hunt to whose member he have possibly give some surgical assistance , and which have make him a small presentation in return . ''"",)",,,0,dev,3668,0
"(""`` Really , Watson , you excel yourself , '' say Holmes , push back his chair and light a cigarette ."",)",,,0,dev,3669,0
"('`` I be bind to say that in all the account which you have be so good as to give of my own small achievement you have habitually underrate your own ability .',)",,,0,dev,3670,0
"('It may be that you be not yourself luminous , but you be a conductor of light .',)",,,1,dev,3671,1
"('Some people without possess genius have a remarkable power of stimulate it .',)",,,1,dev,3672,1
"(""I confess , my dear fellow , that I be very much in your debt . ''"",)",,,0,dev,3673,0
"('He have never say as much before , and I must admit that his word give me keen pleasure , for I have often be pique by his indifference to my admiration and to the attempt which I have make to give publicity to his method .',)",,,1,dev,3674,1
"('I be proud , too , to think that I have so far master his system as to apply it in a way which earn his approval .',)",,,0,dev,3675,0
"('He now take the stick from my hand and examine it for a few minute with his naked eye .',)",,,0,dev,3676,0
"('Then with an expression of interest he lay down his cigarette , and carry the cane to the window , he look over it again with a convex lens .',)",,,0,dev,3677,0
"(""`` Interesting , though elementary , '' say he as he return to his favourite corner of the settee ."",)",,,0,dev,3678,0
"('`` There be certainly one or two indication upon the stick .',)",,,0,dev,3679,0
"(""It give us the basis for several deduction . ''"",)",,,0,dev,3680,0
"(""`` Has anything escape me ? '' I ask with some self-importance ."",)",,,0,dev,3681,0
"(""`` I trust that there be nothing of consequence which I have overlook ? ''"",)",,,1,dev,3682,1
"('`` I be afraid , my dear Watson , that most of your conclusion be erroneous .',)",,,0,dev,3683,0
"('When I say that you stimulate me I mean , to be frank , that in note your fallacy I be occasionally guide towards the truth .',)",,,0,dev,3684,0
"('Not that you be entirely wrong in this instance .',)",,,1,dev,3685,1
"('The man be certainly a country practitioner .',)",,,0,dev,3686,0
"(""And he walk a good deal . ''"",)",,,0,dev,3687,0
"(""`` Then I be right . ''"",)",,,0,dev,3688,0
"(""`` To that extent . ''"",)",,,0,dev,3689,0
"(""`` But that be all . ''"",)",,,0,dev,3690,0
"('`` No , no , my dear Watson , not all -- by no mean all .',)",,,1,dev,3691,1
"(""I would suggest , for example , that a presentation to a doctor be more likely to come from a hospital than from a hunt , and that when the initial ` C.C. ' be place before that hospital the word ` Charing Cross ' very naturally suggest themselves . ''"",)",,,0,dev,3692,0
"(""`` You may be right . ''"",)",,,0,dev,3693,0
"('`` The probability lie in that direction .',)",,,0,dev,3694,0
"(""And if we take this as a working hypothesis we have a fresh basis from which to start our construction of this unknown visitor . ''"",)",,,1,dev,3695,1
"(""`` Well , then , suppose that ` C.C.H. ' do stand for ` Charing Cross Hospital , ' what further inference may we draw ? ''"",)",,,0,dev,3696,0
"('`` Do none suggest themselves ?',)",,,1,dev,3697,1
"('You know my method .',)",,,0,dev,3698,0
"(""Apply them ! ''"",)",,,0,dev,3699,0
"(""`` I can only think of the obvious conclusion that the man have practise in town before go to the country . ''"",)",,,0,dev,3700,0
"('`` I think that we might venture a little farther than this .',)",,,0,dev,3701,0
"('Look at it in this light .',)",,,0,dev,3702,0
"('On what occasion would it be most probable that such a presentation would be make ?',)",,,0,dev,3703,0
"('When would his friend unite to give him a pledge of their good will ?',)",,,0,dev,3704,0
"('Obviously at the moment when Dr. Mortimer withdraw from the service of the hospital in order to start a practice for himself .',)",,,0,dev,3705,0
"('We know there have be a presentation .',)",,,0,dev,3706,0
"('We believe there have be a change from a town hospital to a country practice .',)",,,0,dev,3707,0
"(""Be it , then , stretch our inference too far to say that the presentation be on the occasion of the change ? ''"",)",,,0,dev,3708,0
"(""`` It certainly seem probable . ''"",)",,,0,dev,3709,0
"('`` Now , you will observe that he could not have be on the staff of the hospital , since only a man well-establishe in a London practice could hold such a position , and such a one would not drift into the country .',)",,,1,dev,3710,1
"('What be he , then ?',)",,,0,dev,3711,0
"('If he be in the hospital and yet not on the staff he could only have be a house-surgeon or a house-physician -- little more than a senior student .',)",,,1,dev,3712,1
"('And he leave five year ago -- the date be on the stick .',)",,,0,dev,3713,0
"(""So your grave , middle-aged family practitioner vanish into thin air , my dear Watson , and there emerge a young fellow under thirty , amiable , unambitious , absent-minded , and the possessor of a favourite dog , which I should describe roughly as be large than a terri and small than a mastiff . ''"",)",,,1,dev,3714,1
"('I laugh incredulously as Sherlock Holmes lean back in his settee and blow little waver ring of smoke up to the ceiling .',)",,,1,dev,3715,1
"(""`` As to the latter part , I have no means of check you , '' say I , `` but at least it be not difficult to find out a few particular about the man 's age and professional career . ''"",)",,,1,dev,3716,1
"('From my small medical shelf I take down the Medical Directory and turn up the name .',)",,,0,dev,3717,0
"('There be several Mortimer , but only one who could be our visitor .',)",,,0,dev,3718,0
"('I read his record aloud .',)",,,0,dev,3719,0
"('`` Mortimer , James , M.R.C.S. , 1882 , Grimpen , Dartmoor , Devon .',)",,,0,dev,3720,0
"('House-surgeon , from 1882 to 1884 , at Charing Cross Hospital .',)",,,0,dev,3721,0
"(""Winner of the Jackson prize for Comparative Pathology , with essay entitle ` Be Disease a Reversion ? '"",)",,,0,dev,3722,0
"('Correspond member of the Swedish Pathological Society .',)",,,0,dev,3723,0
"(""Author of ` Some Freaks of Atavism ' ( Lancet 1882 ) ."",)",,,0,dev,3724,0
"(""` Do We Progress ? ' ( Journal of Psychology , March , 1883 ) ."",)",,,0,dev,3725,0
"(""Medical Officer for the parish of Grimpen , Thorsley , and High Barrow . ''"",)",,,0,dev,3726,0
"(""`` No mention of that local hunt , Watson , '' say Holmes with a mischievous smile , `` but a country doctor , as you very astutely observe ."",)",,,1,dev,3727,1
"('I think that I be fairly justify in my inference .',)",,,0,dev,3728,0
"('As to the adjective , I say , if I remember right , amiable , unambitious , and absent-minded .',)",,,1,dev,3729,1
"(""It be my experience that it be only an amiable man in this world who receive testimonial , only an unambitious one who abandon a London career for the country , and only an absent-minded one who leave his stick and not his visiting-card after wait an hour in your room . ''"",)",,,1,dev,3730,1
"(""`` And the dog ? ''"",)",,,0,dev,3731,0
"('`` Ha be in the habit of carry this stick behind his master .',)",,,0,dev,3732,0
"('Be a heavy stick the dog have hold it tightly by the middle , and the mark of his tooth be very plainly visible .',)",,,0,dev,3733,0
"(""The dog 's jaw , as show in the space between these mark , be too broad in my opinion for a terrier and not broad enough for a mastiff ."",)",,,1,dev,3734,1
"(""It may have be -- ye , by Jove , it be a curly-haired spaniel . ''"",)",,,0,dev,3735,0
"('He have rise and pace the room as he speak .',)",,,0,dev,3736,0
"('Now he halt in the recess of the window .',)",,,0,dev,3737,0
"('There be such a ring of conviction in his voice that I glance up in surprise .',)",,,0,dev,3738,0
"(""`` My dear fellow , how can you possibly be so sure of that ? ''"",)",,,0,dev,3739,0
"('`` For the very simple reason that I see the dog himself on our very door-step , and there be the ring of its owner .',)",,,0,dev,3740,0
"(""Do n't move , I beg you , Watson ."",)",,,1,dev,3741,1
"('He be a professional brother of your , and your presence may be of assistance to me .',)",,,0,dev,3742,0
"('Now be the dramatic moment of fate , Watson , when you hear a step upon the stair which be walk into your life , and you know not whether for good or ill .',)",,,1,dev,3743,1
"('What do Dr. James Mortimer , the man of science , ask of Sherlock Holmes , the specialist in crime ?',)",,,0,dev,3744,0
"(""Come in ! ''"",)",,,0,dev,3745,0
"('The appearance of our visitor be a surprise to me , since I have expect a typical country practitioner .',)",,,0,dev,3746,0
"('He be a very tall , thin man , with a long nose like a beak , which jut out between two keen , gray eye , set closely together and sparkle brightly from behind a pair of gold-rimmed glass .',)",,,0,dev,3747,0
"('He be clothe in a professional but rather slovenly fashion , for his frock-coat be dingy and his trouser fray .',)",,,0,dev,3748,0
"('Though young , his long back be already bow , and he walk with a forward thrust of his head and a general air of peer benevolence .',)",,,0,dev,3749,0
"(""As he enter his eye fall upon the stick in Holmes 's hand , and he run towards it with an exclamation of joy ."",)",,,0,dev,3750,0
"(""`` I be so very glad , '' say he ."",)",,,0,dev,3751,0
"('`` I be not sure whether I have leave it here or in the Shipping Office .',)",,,1,dev,3752,1
"(""I would not lose that stick for the world . ''"",)",,,1,dev,3753,1
"(""`` A presentation , I see , '' say Holmes ."",)",,,0,dev,3754,0
"(""`` Ye , sir . ''"",)",,,0,dev,3755,0
"(""`` From Charing Cross Hospital ? ''"",)",,,0,dev,3756,0
"(""`` From one or two friend there on the occasion of my marriage . ''"",)",,,0,dev,3757,0
"(""`` Dear , dear , that ' bad ! '' say Holmes , shake his head ."",)",,,0,dev,3758,0
"('Dr. Mortimer blink through his glass in mild astonishment .',)",,,0,dev,3759,0
"(""`` Why be it bad ? ''"",)",,,0,dev,3760,0
"('`` Only that you have disarrange our little deduction .',)",,,0,dev,3761,0
"(""Your marriage , you say ? ''"",)",,,0,dev,3762,0
"('`` Ye , sir .',)",,,0,dev,3763,0
"('I marry , and so leave the hospital , and with it all hope of a consulting practice .',)",,,0,dev,3764,0
"(""It be necessary to make a home of my own . ''"",)",,,0,dev,3765,0
"(""`` Come , come , we be not so far wrong , after all , '' say Holmes ."",)",,,1,dev,3766,1
"(""`` And now , Dr. James Mortimer -- ''"",)",,,0,dev,3767,0
"(""`` Mister , sir , Mister -- a humble M.R.C.S . ''"",)",,,0,dev,3768,0
"(""`` And a man of precise mind , evidently . ''"",)",,,0,dev,3769,0
"('`` A dabbler in science , Mr. Holmes , a picker up of shell on the shore of the great unknown ocean .',)",,,1,dev,3770,1
"(""I presume that it be Mr. Sherlock Holmes whom I be address and not -- ''"",)",,,1,dev,3771,1
"(""`` No , this be my friend Dr. Watson . ''"",)",,,1,dev,3772,1
"('`` Glad to meet you , sir .',)",,,0,dev,3773,0
"('I have hear your name mention in connection with that of your friend .',)",,,0,dev,3774,0
"('You interest me very much , Mr. Holmes .',)",,,0,dev,3775,0
"('I have hardly expect so dolichocephalic a skull or such well-marked supra-orbital development .',)",,,0,dev,3776,0
"('Would you have any objection to my run my finger along your parietal fissure ?',)",,,0,dev,3777,0
"('A cast of your skull , sir , until the original be available , would be an ornament to any anthropological museum .',)",,,0,dev,3778,0
"(""It be not my intention to be fulsome , but I confess that I covet your skull . ''"",)",,,1,dev,3779,1
"('Sherlock Holmes wave our strange visitor into a chair .',)",,,0,dev,3780,0
"(""`` You be an enthusiast in your line of thought , I perceive , sir , as I be in mine , '' say he ."",)",,,0,dev,3781,0
"('`` I observe from your forefinger that you make your own cigarette .',)",,,0,dev,3782,0
"(""Have no hesitation in light one . ''"",)",,,1,dev,3783,1
"('The man draw out paper and tobacco and twirl the one up in the other with surprising dexterity .',)",,,0,dev,3784,0
"('He have long , quiver finger as agile and restless as the antenna of an insect .',)",,,0,dev,3785,0
"('Holmes be silent , but his little darting glance show me the interest which he take in our curious companion .',)",,,0,dev,3786,0
"(""`` I presume , sir , '' say he at last , `` that it be not merely for the purpose of examine my skull that you have do me the honour to call here last night and again today ? ''"",)",,,1,dev,3787,1
"('`` No , sir , no ; though I be happy to have have the opportunity of do that as well .',)",,,1,dev,3788,1
"('I come to you , Mr. Holmes , because I recognize that I be myself an unpractical man and because I be suddenly confront with a most serious and extraordinary problem .',)",,,1,dev,3789,1
"(""Recognize , as I do , that you be the second high expert in Europe -- ''"",)",,,0,dev,3790,0
"('`` Indeed , sir !',)",,,0,dev,3791,0
"(""May I inquire who have the honour to be the first ? '' ask Holmes with some asperity ."",)",,,0,dev,3792,0
"(""`` To the man of precisely scientific mind the work of Monsieur Bertillon must always appeal strongly . ''"",)",,,0,dev,3793,0
"(""`` Then have you not well consult him ? ''"",)",,,1,dev,3794,1
"('`` I say , sir , to the precisely scientific mind .',)",,,0,dev,3795,0
"('But as a practical man of affair it be acknowledge that you stand alone .',)",,,0,dev,3796,0
"(""I trust , sir , that I have not inadvertently -- ''"",)",,,1,dev,3797,1
"(""`` Just a little , '' say Holmes ."",)",,,0,dev,3798,0
"(""`` I think , Dr. Mortimer , you would do wisely if without more ado you would kindly tell me plainly what the exact nature of the problem be in which you demand my assistance . ''"",)",,,0,dev,3799,0
"('Chapter 2. The Curse of the Baskervilles',)",,,0,dev,3800,0
"(""`` I have in my pocket a manuscript , '' say Dr. James Mortimer ."",)",,,0,dev,3801,0
"(""`` I observe it as you enter the room , '' say Holmes ."",)",,,0,dev,3802,0
"(""`` It be an old manuscript . ''"",)",,,0,dev,3803,0
"(""`` Early eighteenth century , unless it be a forgery . ''"",)",,,0,dev,3804,0
"(""`` How can you say that , sir ? ''"",)",,,0,dev,3805,0
"('`` You have present an inch or two of it to my examination all the time that you have be talk .',)",,,0,dev,3806,0
"('It would be a poor expert who could not give the date of a document within a decade or so .',)",,,1,dev,3807,1
"('You may possibly have read my little monograph upon the subject .',)",,,0,dev,3808,0
"(""I put that at 1730 . ''"",)",,,0,dev,3809,0
"(""`` The exact date be 1742 . ''"",)",,,0,dev,3810,0
"('Dr. Mortimer draw it from his breast-pocket .',)",,,0,dev,3811,0
"('`` This family paper be commit to my care by Sir Charles Baskerville , whose sudden and tragic death some three month ago create so much excitement in Devonshire .',)",,,0,dev,3812,0
"('I may say that I be his personal friend as well as his medical attendant .',)",,,0,dev,3813,0
"('He be a strong-minded man , sir , shrewd , practical , and as unimaginative as I be myself .',)",,,1,dev,3814,1
"(""Yet he take this document very seriously , and his mind be prepare for just such an end as do eventually overtake him . ''"",)",,,0,dev,3815,0
"('Holmes stretch out his hand for the manuscript and flatten it upon his knee .',)",,,0,dev,3816,0
"('`` You will observe , Watson , the alternative use of the long s and the short .',)",,,0,dev,3817,0
"(""It be one of several indication which enable me to fix the date . ''"",)",,,0,dev,3818,0
"('I look over his shoulder at the yellow paper and the faded script .',)",,,0,dev,3819,0
"(""At the head be write : `` Baskerville Hall , '' and below in large , scrawl figure : `` 1742 . ''"",)",,,0,dev,3820,0
"(""`` It appear to be a statement of some sort . ''"",)",,,0,dev,3821,0
"(""`` Yes , it be a statement of a certain legend which run in the Baskerville family . ''"",)",,,0,dev,3822,0
"(""`` But I understand that it be something more modern and practical upon which you wish to consult me ? ''"",)",,,0,dev,3823,0
"('`` Most modern .',)",,,0,dev,3824,0
"('A most practical , press matter , which must be decide within twenty-four hour .',)",,,0,dev,3825,0
"('But the manuscript be short and be intimately connect with the affair .',)",,,0,dev,3826,0
"(""With your permission I will read it to you . ''"",)",,,0,dev,3827,0
"('Holmes lean back in his chair , place his finger-tip together , and close his eye , with an air of resignation .',)",,,0,dev,3828,0
"('Dr. Mortimer turn the manuscript to the light and read in a high , crack voice the follow curious , old-world narrative :',)",,,0,dev,3829,0
"('`` Of the origin of the Hound of the Baskervilles there have be many statement , yet as I come in a direct line from Hugo Baskerville , and as I have the story from my father , who also have it from his , I have set it down with all belief that it occur even as be here set forth .',)",,,0,dev,3830,0
"('And I would have you believe , my son , that the same Justice which punish sin may also most graciously forgive it , and that no ban be so heavy but that by prayer and repentance it may be remove .',)",,,1,dev,3831,1
"('Learn then from this story not to fear the fruit of the past , but rather to be circumspect in the future , that those foul passion whereby our family have suffer so grievously may not again be loose to our undoing .',)",,,1,dev,3832,1
"('`` Know then that in the time of the Great Rebellion ( the history of which by the learn Lord Clarendon I most earnestly commend to your attention ) this Manor of Baskerville be hold by Hugo of that name , nor can it be gainsay that he be a most wild , profane , and godless man .',)",,,1,dev,3833,1
"('This , in truth , his neighbour might have pardon , see that saint have never flourish in those part , but there be in him a certain wanton and cruel humour which make his name a by-word through the West .',)",,,1,dev,3834,1
